"lea_code","lea_name","school_code","school_name","assessment","assessmenttype","cohort","subject","grade","year","subgroup","percent_level_1","percent_level_2","percent_level_3","percent_level_4","percent_level_5","percent_proficient","percent_proficient_3+"
"0108","Capital City PCS","All","All","PARCC","Traditional","Current","Reading - Informational Text","3rd Grade","2014-2015","All",0.35,0.13,0.52,NA,NA,0.48,NA
"0108","Capital City PCS","All","All","PARCC","Traditional","Current","Reading - Knowledge and Use of Language Conventions","3rd Grade","2014-2015","All",0.33,0.23,0.44,NA,NA,0.56,NA
"0108","Capital City PCS","All","All","PARCC","Traditional","Current","Reading - Literary Text","3rd Grade","2014-2015","All",0.23,0.19,0.58,NA,NA,0.42,NA
"0108","Capital City PCS","All","All","PARCC","Traditional","Current","Reading - Vocabulary","3rd Grade","2014-2015","All",0.37,0.15,0.48,NA,NA,0.52,NA
"0108","Capital City PCS","All","All","PARCC","Traditional","Current","Reading - Writing Expression","3rd Grade","2014-2015","All",0.27,0.12,0.62,NA,NA,0.38,NA
"0108","Capital City PCS","All","All","PARCC","Traditional","Current","Reading - Informational Text","4th Grade","2014-2015","All",0.29,0.21,0.51,NA,NA,0.49,NA
"0108","Capital City PCS","All","All","PARCC","Traditional","Current","Reading - Knowledge and Use of Language Conventions","4th Grade","2014-2015","All",0.21,0.25,0.55,NA,NA,0.45,NA
"0108","Capital City PCS","All","All","PARCC","Traditional","Current","Reading - Literary Text","4th Grade","2014-2015","All",0.3,0.29,0.42,NA,NA,0.58,NA
"0108","Capital City PCS","All","All","PARCC","Traditional","Current","Reading - Vocabulary","4th Grade","2014-2015","All",0.34,0.3,0.36,NA,NA,0.64,NA
"0108","Capital City PCS","All","All","PARCC","Traditional","Current","Reading - Writing Expression","4th Grade","2014-2015","All",0.18,0.27,0.55,NA,NA,0.45,NA
"0108","Capital City PCS","All","All","PARCC","Traditional","Current","Reading - Informational Text","5th Grade","2014-2015","All",0.34,0.24,0.41,NA,NA,0.59,NA
"0108","Capital City PCS","All","All","PARCC","Traditional","Current","Reading - Knowledge and Use of Language Conventions","5th Grade","2014-2015","All",0.4,0.16,0.44,NA,NA,0.56,NA
"0108","Capital City PCS","All","All","PARCC","Traditional","Current","Reading - Literary Text","5th Grade","2014-2015","All",0.27,0.26,0.48,NA,NA,0.52,NA
"0108","Capital City PCS","All","All","PARCC","Traditional","Current","Reading - Vocabulary","5th Grade","2014-2015","All",0.34,0.21,0.45,NA,NA,0.55,NA
"0108","Capital City PCS","All","All","PARCC","Traditional","Current","Reading - Writing Expression","5th Grade","2014-2015","All",0.21,0.2,0.6,NA,NA,0.4,NA
"0108","Capital City PCS","All","All","PARCC","Traditional","Current","Reading - Informational Text","6th Grade","2014-2015","All",0.29,0.26,0.45,NA,NA,0.55,NA
"0108","Capital City PCS","All","All","PARCC","Traditional","Current","Reading - Knowledge and Use of Language Conventions","6th Grade","2014-2015","All",0.32,0.42,0.25,NA,NA,0.75,NA
"0108","Capital City PCS","All","All","PARCC","Traditional","Current","Reading - Literary Text","6th Grade","2014-2015","All",0.3,0.3,0.4,NA,NA,0.6,NA
"0108","Capital City PCS","All","All","PARCC","Traditional","Current","Reading - Vocabulary","6th Grade","2014-2015","All",0.32,0.21,0.46,NA,NA,0.54,NA
"0108","Capital City PCS","All","All","PARCC","Traditional","Current","Reading - Writing Expression","6th Grade","2014-2015","All",0.34,0.34,0.32,NA,NA,0.68,NA
"0108","Capital City PCS","All","All","PARCC","Traditional","Current","Reading - Informational Text","7th Grade","2014-2015","All",0.38,0.21,0.42,NA,NA,0.58,NA
"0108","Capital City PCS","All","All","PARCC","Traditional","Current","Reading - Knowledge and Use of Language Conventions","7th Grade","2014-2015","All",0.29,0.36,0.35,NA,NA,0.65,NA
"0108","Capital City PCS","All","All","PARCC","Traditional","Current","Reading - Literary Text","7th Grade","2014-2015","All",0.25,0.38,0.38,NA,NA,0.62,NA
"0108","Capital City PCS","All","All","PARCC","Traditional","Current","Reading - Vocabulary","7th Grade","2014-2015","All",0.33,0.18,0.49,NA,NA,0.51,NA
"0108","Capital City PCS","All","All","PARCC","Traditional","Current","Reading - Writing Expression","7th Grade","2014-2015","All",0.25,0.35,0.4,NA,NA,0.6,NA
"0108","Capital City PCS","All","All","PARCC","Traditional","Current","Reading - Informational Text","8th Grade","2014-2015","All",0.28,0.28,0.44,NA,NA,0.56,NA
"0108","Capital City PCS","All","All","PARCC","Traditional","Current","Reading - Knowledge and Use of Language Conventions","8th Grade","2014-2015","All",0.35,0.15,0.5,NA,NA,0.5,NA
"0108","Capital City PCS","All","All","PARCC","Traditional","Current","Reading - Literary Text","8th Grade","2014-2015","All",0.31,0.24,0.45,NA,NA,0.55,NA
"0108","Capital City PCS","All","All","PARCC","Traditional","Current","Reading - Vocabulary","8th Grade","2014-2015","All",0.3,0.24,0.46,NA,NA,0.54,NA
"0108","Capital City PCS","All","All","PARCC","Traditional","Current","Reading - Writing Expression","8th Grade","2014-2015","All",0.34,0.14,0.52,NA,NA,0.48,NA
"0108","Capital City PCS","All","All","PARCC","Traditional","Current","Reading - Informational Text","All","2014-2015","All",0.33,0.24,0.43,NA,NA,0.57,NA
"0108","Capital City PCS","All","All","PARCC","Traditional","Current","Reading - Knowledge and Use of Language Conventions","All","2014-2015","All",0.33,0.25,0.42,NA,NA,0.58,NA
"0108","Capital City PCS","All","All","PARCC","Traditional","Current","Reading - Literary Text","All","2014-2015","All",0.29,0.27,0.43,NA,NA,0.57,NA
"0108","Capital City PCS","All","All","PARCC","Traditional","Current","Reading - Vocabulary","All","2014-2015","All",0.33,0.22,0.45,NA,NA,0.55,NA
"0108","Capital City PCS","All","All","PARCC","Traditional","Current","Reading - Writing Expression","All","2014-2015","All",0.29,0.23,0.48,NA,NA,0.52,NA
"0108","Capital City PCS","All","All","PARCC","Traditional","Current","Reading - Informational Text","English II","2014-2015","All",0.4,0.27,0.33,NA,NA,0.67,NA
"0108","Capital City PCS","All","All","PARCC","Traditional","Current","Reading - Knowledge and Use of Language Conventions","English II","2014-2015","All",0.39,0.21,0.4,NA,NA,0.6,NA
"0108","Capital City PCS","All","All","PARCC","Traditional","Current","Reading - Literary Text","English II","2014-2015","All",0.36,0.23,0.41,NA,NA,0.59,NA
"0108","Capital City PCS","All","All","PARCC","Traditional","Current","Reading - Vocabulary","English II","2014-2015","All",0.33,0.17,0.49,NA,NA,0.51,NA
"0108","Capital City PCS","All","All","PARCC","Traditional","Current","Reading - Writing Expression","English II","2014-2015","All",0.41,0.19,0.4,NA,NA,0.6,NA
