"lea_code","lea_name","school_code","school_name","assessment","assessmenttype","cohort","subject","grade","year","subgroup","percent_level_1","percent_level_2","percent_level_3","percent_level_4","percent_level_5","percent_proficient","percent_proficient_3+"
"0001","District of Columbia Public Schools","All","All","PARCC","Traditional","Current","Reading - Informational Text","3rd Grade","2014-2015","All",0.28,0.24,0.48,NA,NA,0.52,NA
"0001","District of Columbia Public Schools","All","All","PARCC","Traditional","Current","Reading - Knowledge and Use of Language Conventions","3rd Grade","2014-2015","All",0.33,0.19,0.48,NA,NA,0.52,NA
"0001","District of Columbia Public Schools","All","All","PARCC","Traditional","Current","Reading - Literary Text","3rd Grade","2014-2015","All",0.27,0.18,0.55,NA,NA,0.45,NA
"0001","District of Columbia Public Schools","All","All","PARCC","Traditional","Current","Reading - Vocabulary","3rd Grade","2014-2015","All",0.3,0.18,0.52,NA,NA,0.48,NA
"0001","District of Columbia Public Schools","All","All","PARCC","Traditional","Current","Reading - Writing Expression","3rd Grade","2014-2015","All",0.25,0.14,0.61,NA,NA,0.39,NA
"0001","District of Columbia Public Schools","All","All","PARCC","Traditional","Current","Reading - Informational Text","4th Grade","2014-2015","All",0.29,0.24,0.48,NA,NA,0.52,NA
"0001","District of Columbia Public Schools","All","All","PARCC","Traditional","Current","Reading - Knowledge and Use of Language Conventions","4th Grade","2014-2015","All",0.29,0.21,0.5,NA,NA,0.5,NA
"0001","District of Columbia Public Schools","All","All","PARCC","Traditional","Current","Reading - Literary Text","4th Grade","2014-2015","All",0.3,0.23,0.47,NA,NA,0.53,NA
"0001","District of Columbia Public Schools","All","All","PARCC","Traditional","Current","Reading - Vocabulary","4th Grade","2014-2015","All",0.3,0.23,0.47,NA,NA,0.53,NA
"0001","District of Columbia Public Schools","All","All","PARCC","Traditional","Current","Reading - Writing Expression","4th Grade","2014-2015","All",0.27,0.17,0.56,NA,NA,0.44,NA
"0001","District of Columbia Public Schools","All","All","PARCC","Traditional","Current","Reading - Informational Text","5th Grade","2014-2015","All",0.31,0.21,0.49,NA,NA,0.51,NA
"0001","District of Columbia Public Schools","All","All","PARCC","Traditional","Current","Reading - Knowledge and Use of Language Conventions","5th Grade","2014-2015","All",0.34,0.15,0.5,NA,NA,0.5,NA
"0001","District of Columbia Public Schools","All","All","PARCC","Traditional","Current","Reading - Literary Text","5th Grade","2014-2015","All",0.32,0.24,0.44,NA,NA,0.56,NA
"0001","District of Columbia Public Schools","All","All","PARCC","Traditional","Current","Reading - Vocabulary","5th Grade","2014-2015","All",0.33,0.2,0.47,NA,NA,0.53,NA
"0001","District of Columbia Public Schools","All","All","PARCC","Traditional","Current","Reading - Writing Expression","5th Grade","2014-2015","All",0.27,0.13,0.6,NA,NA,0.4,NA
"0001","District of Columbia Public Schools","All","All","PARCC","Traditional","Current","Reading - Informational Text","6th Grade","2014-2015","All",0.25,0.22,0.53,NA,NA,0.47,NA
"0001","District of Columbia Public Schools","All","All","PARCC","Traditional","Current","Reading - Knowledge and Use of Language Conventions","6th Grade","2014-2015","All",0.26,0.26,0.48,NA,NA,0.52,NA
"0001","District of Columbia Public Schools","All","All","PARCC","Traditional","Current","Reading - Literary Text","6th Grade","2014-2015","All",0.28,0.23,0.49,NA,NA,0.51,NA
"0001","District of Columbia Public Schools","All","All","PARCC","Traditional","Current","Reading - Vocabulary","6th Grade","2014-2015","All",0.28,0.22,0.5,NA,NA,0.5,NA
"0001","District of Columbia Public Schools","All","All","PARCC","Traditional","Current","Reading - Writing Expression","6th Grade","2014-2015","All",0.24,0.21,0.55,NA,NA,0.45,NA
"0001","District of Columbia Public Schools","All","All","PARCC","Traditional","Current","Reading - Informational Text","7th Grade","2014-2015","All",0.28,0.2,0.53,NA,NA,0.47,NA
"0001","District of Columbia Public Schools","All","All","PARCC","Traditional","Current","Reading - Knowledge and Use of Language Conventions","7th Grade","2014-2015","All",0.28,0.19,0.53,NA,NA,0.47,NA
"0001","District of Columbia Public Schools","All","All","PARCC","Traditional","Current","Reading - Literary Text","7th Grade","2014-2015","All",0.28,0.2,0.53,NA,NA,0.47,NA
