"","lea_code","lea_name","school_code","school_name","assessment","assessmenttype","cohort","subject","grade","year","subgroup","percent_level_1","percent_level_2","percent_level_3","percent_level_4","percent_level_5","percent_proficient","percent_proficient_3+"
"1","0001","District of Columbia Public Schools","All","All","All","All","Tested","Reading","All","2014-2015","Male",NA,NA,NA,NA,NA,0.21,0.39
"2","0001","District of Columbia Public Schools","All","All","All","All","Tested","Reading","All","2014-2015","Asian",NA,NA,NA,NA,NA,0.52,0.73
"3","0001","District of Columbia Public Schools","All","All","All","All","Tested","Reading","All","2014-2015","Female",NA,NA,NA,NA,NA,0.3,0.52
"4","0001","District of Columbia Public Schools","All","All","All","All","Tested","Reading","All","2014-2015","Economically Disadvantaged",NA,NA,NA,NA,NA,0.12,0.33
"5","0001","District of Columbia Public Schools","All","All","All","All","Tested","Reading","All","2014-2015","White",NA,NA,NA,NA,NA,0.79,0.91
"6","0001","District of Columbia Public Schools","All","All","All","All","Tested","Reading","All","2014-2015","Not Limited English Proficient",NA,NA,NA,NA,NA,0.27,0.47
"7","0001","District of Columbia Public Schools","All","All","All","All","Tested","Reading","All","2014-2015","Multiracial",NA,NA,NA,NA,NA,0.66,0.82
"8","0001","District of Columbia Public Schools","All","All","All","All","Tested","Reading","All","2014-2015","Hispanic",NA,NA,NA,NA,NA,0.22,0.47
"9","0001","District of Columbia Public Schools","All","All","All","All","Tested","Reading","3rd Grade - 8th Grade","2014-2015","All",NA,NA,NA,NA,NA,0.25,0.45
"10","0001","District of Columbia Public Schools","All","All","All","All","Tested","Reading","All","2014-2015","Limited English Proficient",NA,NA,NA,NA,NA,0.12,0.33
"11","0001","District of Columbia Public Schools","All","All","All","All","Tested","Reading","9th Grade - 12th Grade","2014-2015","All",NA,NA,NA,NA,NA,0.27,0.43
"12","0001","District of Columbia Public Schools","All","All","All","All","Tested","Reading","All","2014-2015","Not Economically Disadvantaged",NA,NA,NA,NA,NA,0.64,0.83
"13","0001","District of Columbia Public Schools","All","All","All","All","Tested","Reading","All","2014-2015","Black/African American",NA,NA,NA,NA,NA,0.15,0.35
"14","0001","District of Columbia Public Schools","All","All","All","All","Tested","Reading","All","2014-2015","Not Special Education",NA,NA,NA,NA,NA,0.29,0.52
"15","0001","District of Columbia Public Schools","All","All","All","All","Tested","Reading","All","2014-2015","All",NA,NA,NA,NA,NA,0.25,0.45
"16","0001","District of Columbia Public Schools","All","All","All","All","Tested","Reading","All","2014-2015","Special Education",NA,NA,NA,NA,NA,0.07,0.13
"17","0001","District of Columbia Public Schools","All","All","All","All","Tested","Reading","English II","2014-2015","Not Economically Disadvantaged",NA,NA,NA,NA,NA,0.64,0.8
"18","0001","District of Columbia Public Schools","All","All","All","All","Tested","Reading","English II","2014-2015","Asian",NA,NA,NA,NA,NA,0.44,0.63
"19","0001","District of Columbia Public Schools","All","All","All","All","Tested","Reading","English II","2014-2015","Not Special Education",NA,NA,NA,NA,NA,0.31,0.49
"20","0001","District of Columbia Public Schools","All","All","All","All","Tested","Reading","English II","2014-2015","Economically Disadvantaged",NA,NA,NA,NA,NA,0.15,0.3
"21","0001","District of Columbia Public Schools","All","All","All","All","Tested","Reading","English II","2014-2015","Female",NA,NA,NA,NA,NA,0.33,0.51
"22","0001","District of Columbia Public Schools","All","All","All","All","Tested","Reading","English II","2014-2015","Multiracial",NA,NA,NA,NA,NA,0.86,0.93
"23","0001","District of Columbia Public Schools","All","All","All","All","Tested","Reading","English II","2014-2015","White",NA,NA,NA,NA,NA,0.81,0.87
"24","0001","District of Columbia Public Schools","All","All","All","All","Tested","Reading","English II","2014-2015","Limited English Proficient",NA,NA,NA,NA,NA,0.05,0.23
"25","0001","District of Columbia Public Schools","All","All","All","All","Tested","Reading","English II","2014-2015","Male",NA,NA,NA,NA,NA,0.2,0.34
"26","0001","District of Columbia Public Schools","All","All","All","All","Tested","Reading","English II","2014-2015","Not Limited English Proficient",NA,NA,NA,NA,NA,0.29,0.45
"27","0001","District of Columbia Public Schools","All","All","All","All","Tested","Reading","English II","2014-2015","All",NA,NA,NA,NA,NA,0.27,0.43
"28","0001","District of Columbia Public Schools","All","All","All","All","Tested","Reading","English II","2014-2015","Black/African American",NA,NA,NA,NA,NA,0.2,0.35
"29","0001","District of Columbia Public Schools","All","All","All","All","Tested","Reading","English II","2014-2015","Hispanic",NA,NA,NA,NA,NA,0.28,0.47
"30","0001","District of Columbia Public Schools","All","All","All","All","Tested","Reading","English II","2014-2015","Special Education",NA,NA,NA,NA,NA,0.03,0.08
"31","0001","District of Columbia Public Schools","All","All","All","All","Tested","Reading","3rd Grade","2014-2015","Female",NA,NA,NA,NA,NA,0.27,0.45
"32","0001","District of Columbia Public Schools","All","All","All","All","Tested","Reading","3rd Grade","2014-2015","Black/African American",NA,NA,NA,NA,NA,0.13,0.29
"33","0001","District of Columbia Public Schools","All","All","All","All","Tested","Reading","3rd Grade","2014-2015","Economically Disadvantaged",NA,NA,NA,NA,NA,0.12,0.28
"34","0001","District of Columbia Public Schools","All","All","All","All","Tested","Reading","3rd Grade","2014-2015","Not Special Education",NA,NA,NA,NA,NA,0.27,0.47
"35","0001","District of Columbia Public Schools","All","All","All","All","Tested","Reading","3rd Grade","2014-2015","Not Economically Disadvantaged",NA,NA,NA,NA,NA,0.61,0.84
"36","0001","District of Columbia Public Schools","All","All","All","All","Tested","Reading","3rd Grade","2014-2015","White",NA,NA,NA,NA,NA,0.71,0.89
"37","0001","District of Columbia Public Schools","All","All","All","All","Tested","Reading","3rd Grade","2014-2015","Limited English Proficient",NA,NA,NA,NA,NA,0.16,0.35
"38","0001","District of Columbia Public Schools","All","All","All","All","Tested","Reading","3rd Grade","2014-2015","Male",NA,NA,NA,NA,NA,0.21,0.39
"39","0001","District of Columbia Public Schools","All","All","All","All","Tested","Reading","3rd Grade","2014-2015","Multiracial",NA,NA,NA,NA,NA,0.66,0.81
"40","0001","District of Columbia Public Schools","All","All","All","All","Tested","Reading","3rd Grade","2014-2015","Asian",NA,NA,NA,NA,NA,0.4,0.67
"41","0001","District of Columbia Public Schools","All","All","All","All","Tested","Reading","3rd Grade","2014-2015","All",NA,NA,NA,NA,NA,0.24,0.42
"42","0001","District of Columbia Public Schools","All","All","All","All","Tested","Reading","3rd Grade","2014-2015","Not Limited English Proficient",NA,NA,NA,NA,NA,0.26,0.43
"43","0001","District of Columbia Public Schools","All","All","All","All","Tested","Reading","3rd Grade","2014-2015","Hispanic",NA,NA,NA,NA,NA,0.17,0.38
"44","0001","District of Columbia Public Schools","All","All","All","All","Tested","Reading","3rd Grade","2014-2015","Special Education",NA,NA,NA,NA,NA,0.05,0.11
"45","0001","District of Columbia Public Schools","All","All","All","All","Tested","Reading","4th Grade","2014-2015","Not Economically Disadvantaged",NA,NA,NA,NA,NA,0.71,0.89
"46","0001","District of Columbia Public Schools","All","All","All","All","Tested","Reading","4th Grade","2014-2015","Asian",NA,NA,NA,NA,NA,0.63,0.75
"47","0001","District of Columbia Public Schools","All","All","All","All","Tested","Reading","4th Grade","2014-2015","Not Special Education",NA,NA,NA,NA,NA,0.31,0.58
"48","0001","District of Columbia Public Schools","All","All","All","All","Tested","Reading","4th Grade","2014-2015","White",NA,NA,NA,NA,NA,0.79,0.93
"49","0001","District of Columbia Public Schools","All","All","All","All","Tested","Reading","4th Grade","2014-2015","Multiracial",NA,NA,NA,NA,NA,0.63,0.79
"50","0001","District of Columbia Public Schools","All","All","All","All","Tested","Reading","4th Grade","2014-2015","Male",NA,NA,NA,NA,NA,0.24,0.46
"51","0001","District of Columbia Public Schools","All","All","All","All","Tested","Reading","4th Grade","2014-2015","Economically Disadvantaged",NA,NA,NA,NA,NA,0.13,0.38
"52","0001","District of Columbia Public Schools","All","All","All","All","Tested","Reading","4th Grade","2014-2015","Female",NA,NA,NA,NA,NA,0.32,0.57
"53","0001","District of Columbia Public Schools","All","All","All","All","Tested","Reading","4th Grade","2014-2015","Not Limited English Proficient",NA,NA,NA,NA,NA,0.3,0.53
"54","0001","District of Columbia Public Schools","All","All","All","All","Tested","Reading","4th Grade","2014-2015","Black/African American",NA,NA,NA,NA,NA,0.15,0.39
"55","0001","District of Columbia Public Schools","All","All","All","All","Tested","Reading","4th Grade","2014-2015","All",NA,NA,NA,NA,NA,0.28,0.52
"56","0001","District of Columbia Public Schools","All","All","All","All","Tested","Reading","4th Grade","2014-2015","Hispanic",NA,NA,NA,NA,NA,0.23,0.54
"57","0001","District of Columbia Public Schools","All","All","All","All","Tested","Reading","4th Grade","2014-2015","Limited English Proficient",NA,NA,NA,NA,NA,0.15,0.44
"58","0001","District of Columbia Public Schools","All","All","All","All","Tested","Reading","4th Grade","2014-2015","Special Education",NA,NA,NA,NA,NA,0.07,0.13
"59","0001","District of Columbia Public Schools","All","All","All","All","Tested","Reading","5th Grade","2014-2015","Asian",NA,NA,NA,NA,NA,0.67,0.87
"60","0001","District of Columbia Public Schools","All","All","All","All","Tested","Reading","5th Grade","2014-2015","Economically Disadvantaged",NA,NA,NA,NA,NA,0.12,0.36
"61","0001","District of Columbia Public Schools","All","All","All","All","Tested","Reading","5th Grade","2014-2015","Not Special Education",NA,NA,NA,NA,NA,0.28,0.54
"62","0001","District of Columbia Public Schools","All","All","All","All","Tested","Reading","5th Grade","2014-2015","Hispanic",NA,NA,NA,NA,NA,0.2,0.47
"63","0001","District of Columbia Public Schools","All","All","All","All","Tested","Reading","5th Grade","2014-2015","Black/African American",NA,NA,NA,NA,NA,0.14,0.37
"64","0001","District of Columbia Public Schools","All","All","All","All","Tested","Reading","5th Grade","2014-2015","Female",NA,NA,NA,NA,NA,0.29,0.52
"65","0001","District of Columbia Public Schools","All","All","All","All","Tested","Reading","5th Grade","2014-2015","Not Limited English Proficient",NA,NA,NA,NA,NA,0.26,0.49
"66","0001","District of Columbia Public Schools","All","All","All","All","Tested","Reading","5th Grade","2014-2015","White",NA,NA,NA,NA,NA,0.8,0.9
"67","0001","District of Columbia Public Schools","All","All","All","All","Tested","Reading","5th Grade","2014-2015","Male",NA,NA,NA,NA,NA,0.2,0.41
"68","0001","District of Columbia Public Schools","All","All","All","All","Tested","Reading","5th Grade","2014-2015","Multiracial",NA,NA,NA,NA,NA,0.69,0.85
"69","0001","District of Columbia Public Schools","All","All","All","All","Tested","Reading","5th Grade","2014-2015","Not Economically Disadvantaged",NA,NA,NA,NA,NA,0.68,0.84
"70","0001","District of Columbia Public Schools","All","All","All","All","Tested","Reading","5th Grade","2014-2015","Limited English Proficient",NA,NA,NA,NA,NA,0.1,0.32
"71","0001","District of Columbia Public Schools","All","All","All","All","Tested","Reading","5th Grade","2014-2015","All",NA,NA,NA,NA,NA,0.24,0.46
"72","0001","District of Columbia Public Schools","All","All","All","All","Tested","Reading","5th Grade","2014-2015","Special Education",NA,NA,NA,NA,NA,0.06,0.12
"73","0001","District of Columbia Public Schools","All","All","All","All","Tested","Reading","6th Grade","2014-2015","White",NA,NA,NA,NA,NA,0.8,0.91
"74","0001","District of Columbia Public Schools","All","All","All","All","Tested","Reading","6th Grade","2014-2015","Not Economically Disadvantaged",NA,NA,NA,NA,NA,0.59,0.79
"75","0001","District of Columbia Public Schools","All","All","All","All","Tested","Reading","6th Grade","2014-2015","Hispanic",NA,NA,NA,NA,NA,0.21,0.48
